speed_main,flow_main,week,flow_mean_400,speed_mean_400,flow_mean_406,speed_mean_406,flow_mean_412,speed_mean_412,flow_mean_427,speed_mean_427,flow_mean_432,speed_mean_432,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,timeframe6,timeframe7,timeframe8,timeframe9
113.96,2095,9,2130,109.35,1920,111.58,2050,111.68,2056,104.53,2540,111.92,0,0,0,0,0,0,0,0,0,1,1,0,0,0
108.32,3005,41,3310,106.35,3309,104.78,3312,104.65,3897,96.28,3908,88.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0
106.68,693.1,52,795.52,106.36,805.86,103.29,730.34,102.68,928.97,104.98,924.83,102.29,0,0,0,1,0,0,0,0,0,0,1,0,0,0
103.22,3239,5,3446,101.78,3429,100.17,3420,100.39,3706,94.42,3686,94.43,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110.34,1755.79,17,1912.63,108.85,1925.36,107.34,1865.26,106.8,2284.29,105.97,2284.29,104.59,0,0,0,0,1,0,0,0,0,0,1,0,0,0
49.11,3252,16,3651,56.5,3668,63.4,3678,64.56,3854,67.97,3864,82.97,0,1,0,0,0,0,0,0,0,0,0,0,1,0
112.02,NA,46,3966,112.11,3932,110.95,3976,107.54,4586,106.73,4521,104.77,0,0,0,0,0,1,0,0,0,0,0,0,1,0
114.46,NA,20,5120,116.07,5089,112.16,5315,111.28,4258,108.69,5613,100.67,0,0,0,0,0,0,0,0,0,1,0,0,1,0
114.67,2923,1,2989,114.81,2968,114.22,3014,110.71,3281,111.68,3205,109.08,0,0,0,0,0,0,0,0,1,0,0,0,1,0
114.74,NA,16,4829,114.49,1682,99.47,4825,110.79,4080,108.81,5233,107.17,0,0,0,0,0,0,0,0,1,0,0,0,1,0
85.75,NA,16,3848,80.2,3831,73.72,3862,73.7,4028,75.79,4038,87.11,0,0,0,1,0,0,0,0,0,0,0,0,1,0
105.13,3021,26,3196,102.43,3207,99.69,3202,101.57,3283,96.16,3280,96.06,0,1,0,0,0,0,0,0,0,0,0,0,0,1
86.44,3332,5,3688,86.18,3679,81,3671,83.67,4198,82.57,4194,89.7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
108.69,2973.82,29,3204,105.55,3231.27,104.22,2837.45,105.3,3708,102.3,3720,101.66,0,0,0,1,0,0,0,0,0,0,0,1,0,0
114.09,3063,29,3132,114.03,3082,113.23,3151,112.13,3343,109.75,3239,107.62,0,0,0,0,0,0,1,0,0,0,0,0,0,1
111.66,NA,9,3835,112.03,3829,111.84,3848,109.62,4795,107.76,4704,107.19,0,0,0,0,0,0,1,0,0,0,0,1,0,0
89.91,3423,41,3826.5,87.82,3811.5,86.11,3855,87.24,3831,79.08,3858,87.39,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51.14,3079,6,3417,58.45,3451,70.35,3443,78.89,3859,77.27,3856,86.48,0,0,0,0,0,1,0,0,0,0,0,0,1,0
112.78,2984.48,32,3162.41,110.67,3174.83,108.69,3205.86,108.51,3437.59,104.8,3432.41,104.33,0,1,0,0,0,0,0,0,0,0,0,0,1,0
112.89,2054,46,2090,113.5,2071,113.26,2083,111.37,2729,111.15,2653,108.71,0,0,0,0,0,0,0,1,0,0,1,0,0,0
62.39,3465,47,3776,66.28,3750,66.22,3734,73.58,3675,76,3678,86.99,0,0,1,0,0,0,0,0,0,0,0,0,1,0
114.16,3312,24,3376,113.47,3353,113.08,3420,111.7,3580,109.43,3524,107.66,0,0,0,0,0,0,0,1,0,0,0,0,0,1
109.34,2937,7,3128,106.83,3157,104.39,3154,105.92,3280,100.67,3247,98.37,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116.78,NA,37,4544,116.43,1470,100.98,4541,113.11,4158,110.45,5259,106.73,0,0,0,0,0,0,0,0,1,0,0,1,0,0
99.4,1098,51,1147,99.41,1146,98.14,1171,97.68,1458,96.22,1459,93.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0
101.58,3192,50,3418,96.82,3453,93.85,3435,95.72,3726,94.09,3729,92.45,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108.5,2675.12,30,2745,105.55,2818.46,104.43,2746.5,104.99,3003.16,102.01,3130,100.61,0,0,1,0,0,0,0,0,0,0,0,0,0,1
113.07,NA,20,3688,114.48,3741,112.41,3879,111.27,3139,109.96,3946,106.02,0,0,0,0,0,0,0,0,0,1,0,0,0,1
108.03,1606,50,1745,106.75,1738,105.86,1737,104.94,2085,105.8,2082,103.66,0,0,0,0,1,0,0,0,0,0,1,0,0,0
105.57,3275,10,3633,102.03,3630,97.9,3612,97.64,3842,76.18,3836,86.83,0,1,0,0,0,0,0,0,0,0,0,0,1,0
112.99,3360,16,3418,113.11,3442,113.41,3491,111.78,3658,110.31,3605,108.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1
77.15,3088.47,20,3182.03,73.33,3174.92,69.18,3125.08,70.39,3525.76,68.58,3513.56,67.09,0,0,0,1,0,0,0,0,0,0,0,1,0,0
109.86,2870,34,3176,107.44,3150,106.42,3165,107.09,3451,102.68,3467,102.34,0,0,1,0,0,0,0,0,0,0,0,1,0,0
114.82,2142,19,2224,114.45,917,103.05,2206,112.51,2179,112.36,2692,110.54,0,0,0,0,0,0,0,0,1,0,1,0,0,0
115.65,NA,41,4720.68,114.75,1476.61,98.61,4713.56,111.4,4425.76,108.07,5483.39,105.97,0,0,0,0,0,0,0,0,1,0,0,1,0,0
114.82,3453,18,3554,115.74,3485,115.62,3584,113.77,4081,111.39,4006,109.79,0,0,0,0,0,0,1,0,0,0,0,0,1,0
